id_cliente,nome_cliente,sobrenome_cliente,data_nascimento,sexo,email_cliente,aceita_receber_newsletter,celular_cliente,whatsapp,aceita_receber_mensagens,fixo_cliente,logradouro,numero,bairro,cep,estado,ticket_medio,produtos_saudaveis_percentual
68,Robinette,Gulleford,1963-11-22 06:13:22.143596,Feminino,rgulleford1v@hotmail.com,Não,454-597-6392,Não,Sim,427-815-3838,Westerfield,245,Barra da Tijuca,226005-000,RJ,101.21,3.39
69,Stephan,Casbourne,1971-05-17 06:13:22.143596,Masculino,scasbourne1w@hotmail.com,Não,356-155-7678,Sim,Sim,717-260-0691,Lillian,8438,Barra da Tijuca,226006-000,RJ,459.43,90.36
70,Liesa,Bryan,2004-06-18 06:13:22.143596,Feminino,lbryan1x@hotmail.com,Não,642-202-5621,Sim,Não,553-275-2732,Anthes,8,Tijuca,205005-000,RJ,282.02,11.22
71,Shepard,Scammonden,1977-08-18 06:13:22.143596,Masculino,sscammonden1y@hotmail.com,Sim,901-656-9753,Sim,Sim,217-649-9605,Green,2835,Tijuca,205006-000,RJ,453.51,75.49
72,Dilan,Matthiesen,1995-06-09 06:13:22.143596,Masculino,dmatthiesen1z@hotmail.com,Não,646-881-8734,Não,Sim,413-934-9597,Pennsylvania,71,Tijuca,205005-000,RJ,328.06,54.54
73,Donny,Yelding,1964-04-01 06:13:22.143596,Masculino,dyelding20@hotmail.com,Sim,813-261-8247,Sim,Não,624-714-1257,Westport,2,Barra da Tijuca,226008-000,RJ,272.78,83.08
74,Shaun,Harbor,1985-08-21 06:13:22.143596,Masculino,sharbor21@hotmail.com,Não,524-547-4423,Não,Sim,424-749-4165,Springview,7,Barra da Tijuca,226001-000,RJ,117.06,87.2
75,Giff,Papaminas,1990-03-13 06:13:22.143596,Masculino,gpapaminas22@gmail.com,Sim,458-102-7197,Sim,Não,856-994-0682,Browning,81080,Barra da Tijuca,226006-000,RJ,366.53,90.34
76,Rayner,Peperell,1985-04-05 06:13:22.143596,Masculino,rpeperell23@gmail.com,Sim,220-167-5554,Sim,Não,288-122-7967,Anniversary,6600,Tijuca,205008-000,RJ,467.92,38.54
77,Nancey,Grinnell,1992-01-13 06:13:22.143596,Feminino,ngrinnell24@gmail.com,Sim,919-204-7614,Não,Não,245-470-0182,Mallard,8935,Tijuca,205006-000,RJ,499.97,57.6
78,Hermie,Yeandel,1998-02-01 06:13:22.143596,Masculino,hyeandel25@hotmail.com,Não,598-994-2241,Sim,Sim,546-504-1677,Mayer,11277,Tijuca,205009-000,RJ,252.59,83.75
79,Sibeal,Dixcey,2003-04-11 06:13:22.143596,Feminino,sdixcey26@hotmail.com,Sim,968-701-7954,Não,Não,522-851-4747,Drewry,6,Barra da Tijuca,226001-000,RJ,88.25,5.6
80,Shellie,Pelos,1971-07-10 06:13:22.143596,Outros,spelos27@hotmail.com,Não,777-379-3441,Não,Não,301-618-9607,Basil,4707,Barra da Tijuca,226009-000,RJ,282.28,59.51
81,Kelby,Liggons,1978-05-01 06:13:22.143596,Masculino,kliggons28@gmail.com,Não,425-560-3699,Sim,Sim,412-851-4122,Brown,423,Tijuca,205006-000,RJ,478.79,40.23
82,Vinnie,Sone,1962-10-03 06:13:22.143596,Masculino,vsone29@hotmail.com,Não,831-241-4303,Sim,Sim,676-746-8014,Declaration,9451,Barra da Tijuca,226004-000,RJ,474.33,26.92
83,Kimbra,Kingscott,1997-01-20 06:13:22.143596,Feminino,kkingscott2a@gmail.com,Não,302-267-9538,Sim,Sim,134-413-6021,Mayer,495,Barra da Tijuca,226009-000,RJ,355.16,37.04
84,Bentley,Giannazzo,1973-03-26 06:13:22.143596,Masculino,bgiannazzo2b@gmail.com,Sim,415-423-2003,Não,Não,455-218-1204,Morning,915,Barra da Tijuca,226002-000,RJ,476.91,18.34
85,Ailyn,Klausen,1988-11-08 06:13:22.143596,Feminino,aklausen2c@hotmail.com,Não,336-189-5883,Não,Não,286-409-3831,Trailsway,9,Tijuca,205006-000,RJ,107.41,88.48
86,Angelico,Fardon,1972-08-25 06:13:22.143596,Masculino,afardon2d@hotmail.com,Não,731-357-3480,Não,Sim,359-424-8992,Tennyson,732,Barra da Tijuca,226006-000,RJ,413.7,46.14
87,Marshall,Cashell,1979-06-10 06:13:22.143596,Masculino,mcashell2e@hotmail.com,Sim,793-720-9481,Não,Não,463-345-9694,Jana,3695,Copacabana,220002-000,RJ,112.38,59.29
88,Eric,Bartlomiejczyk,1963-05-03 06:13:22.143596,Masculino,ebartlomiejczyk2f@hotmail.com,Não,199-708-9917,Não,Sim,577-874-6105,Tomscot,2369,Tijuca,205004-000,RJ,318.5,25.42
89,Vilma,Rosenbloom,2002-02-19 06:13:22.143596,Feminino,vrosenbloom2g@gmail.com,Não,665-381-0761,Sim,Sim,499-142-6935,Pankratz,54632,Tijuca,205005-000,RJ,144.12,7.22
90,Brig,Pettipher,1977-11-21 06:13:22.143596,Outros,bpettipher2h@hotmail.com,Não,275-663-2115,Sim,Não,552-924-8860,Magdeline,4731,Copacabana,220007-000,RJ,450.11,87.05
91,Jessalin,Blakey,1997-09-25 06:13:22.143596,Feminino,jblakey2i@gmail.com,Sim,562-823-4011,Não,Não,611-324-0797,Twin Pines,2912,Tijuca,205003-000,RJ,382.74,89.71
92,Pablo,Wipfler,2005-12-24 06:13:22.143596,Masculino,pwipfler2j@hotmail.com,Sim,368-392-3738,Não,Não,252-120-1468,Raven,53,Copacabana,220009-000,RJ,354.15,38.24
93,Wilt,Hurn,1985-06-05 06:13:22.143596,Masculino,whurn2k@hotmail.com,Não,827-825-9773,Sim,Sim,729-895-8521,Briar Crest,7,Copacabana,220002-000,RJ,391.92,92.03
94,Desdemona,Agar,1987-02-18 06:13:22.143596,Feminino,dagar2l@gmail.com,Não,357-688-0902,Sim,Sim,997-338-1751,Bashford,8,Tijuca,205009-000,RJ,112.54,80.76
95,Aili,Roskell,1965-06-07 06:13:22.143596,Feminino,aroskell2m@gmail.com,Sim,334-832-9327,Sim,Não,955-926-3386,Hansons,595,Barra da Tijuca,226004-000,RJ,446.46,78.99
96,Cordie,Bull,1975-10-27 06:13:22.143596,Masculino,cbull2n@gmail.com,Sim,114-570-4033,Sim,Sim,734-513-4737,Aberg,1,Barra da Tijuca,226004-000,RJ,277.28,97.34
97,Paxton,D'Agostino,2005-06-23 06:13:22.143596,Masculino,pdagostino2o@hotmail.com,Não,984-560-7015,Não,Não,977-729-8657,Kennedy,141,Tijuca,205008-000,RJ,287.76,68.74
98,Melisa,Heaviside,1974-07-30 06:13:22.143596,Feminino,mheaviside2p@gmail.com,Não,232-341-0659,Sim,Sim,977-567-0170,Meadow Valley,4784,Copacabana,220005-000,RJ,279.99,51.54
99,Ford,Buddington,1990-10-17 06:13:22.143596,Masculino,fbuddington2q@gmail.com,Sim,628-981-4008,Não,Não,587-887-1154,Charing Cross,9,Barra da Tijuca,226006-000,RJ,185.99,19.74
100,Wittie,Ravenhills,1986-01-15 06:13:22.143596,Masculino,wravenhills2r@gmail.com,Não,434-405-2946,Não,Sim,267-213-1371,Hayes,790,Copacabana,220002-000,RJ,202.15,18.06
101,Essy,Goulbourne,1976-06-27 06:13:22.143596,Feminino,egoulbourne2s@hotmail.com,Não,436-292-9603,Sim,Sim,682-603-9025,Raven,6,Barra da Tijuca,226004-000,RJ,413.79,85.21
102,Gene,Hutable,2000-11-16 06:13:22.143596,Outros,ghutable2t@hotmail.com,Sim,842-215-0584,Não,Não,816-498-2747,Moulton,94,Tijuca,205001-000,RJ,463.01,10.43
103,Kent,Mucklow,1994-07-07 06:13:22.143596,Masculino,kmucklow2u@gmail.com,Não,135-406-0657,Não,Sim,132-291-9727,Sutherland,28955,Tijuca,205008-000,RJ,430.11,74.01
104,Tades,Phizackarley,1979-06-24 06:13:22.143596,Masculino,tphizackarley2v@hotmail.com,Sim,100-492-8121,Sim,Sim,266-242-7838,Loeprich,78176,Tijuca,205004-000,RJ,401.74,29.87
105,Derward,Pinkstone,2006-12-12 06:13:22.143596,Masculino,dpinkstone2w@gmail.com,Não,564-532-9037,Sim,Não,822-302-1638,Fair Oaks,36,Barra da Tijuca,226008-000,RJ,399.71,70.06
106,Meridith,Cossington,1996-11-29 06:13:22.143596,Feminino,mcossington2x@gmail.com,Não,608-114-5812,Não,Não,557-849-2607,Warbler,985,Tijuca,205001-000,RJ,192.91,44.06
107,Edeline,Pavinese,2003-03-21 06:13:22.143596,Outros,epavinese2y@gmail.com,Não,955-316-9387,Sim,Não,752-525-8620,Schmedeman,506,Barra da Tijuca,226006-000,RJ,295.81,37.63
108,Kathryne,Brennen,1965-04-21 06:13:22.143596,Feminino,kbrennen2z@gmail.com,Não,703-767-3502,Sim,Não,438-634-8223,Loftsgordon,14,Tijuca,205002-000,RJ,151.2,95.14
109,Hollyanne,Dummett,1994-05-30 06:13:22.143596,Feminino,hdummett30@hotmail.com,Sim,849-852-7791,Não,Sim,532-698-2340,Evergreen,44,Tijuca,205005-000,RJ,433.3,74.99
110,Shelby,Lowell,1963-06-14 06:13:22.143596,Feminino,slowell31@hotmail.com,Não,712-729-4832,Sim,Não,702-397-2193,Service,67,Tijuca,205005-000,RJ,104.75,70.27
111,Tucky,Capaldo,1978-10-01 06:13:22.143596,Masculino,tcapaldo32@gmail.com,Não,828-715-7748,Não,Não,769-185-8840,John Wall,61,Barra da Tijuca,226001-000,RJ,85.42,36.46
112,Pernell,St. Pierre,1981-02-20 06:13:22.143596,Masculino,pstpierre33@gmail.com,Sim,392-473-8997,Não,Sim,243-865-3276,Drewry,9,Copacabana,220003-000,RJ,408.07,56.13
113,Nikolos,Denkel,1969-05-04 06:13:22.143596,Masculino,ndenkel34@gmail.com,Sim,678-233-0975,Sim,Sim,328-207-4270,Grasskamp,4,Tijuca,205007-000,RJ,258.47,57.91
114,Eward,Rogans,1968-07-31 06:13:22.143596,Masculino,erogans35@hotmail.com,Não,202-595-0752,Sim,Não,198-320-7933,Declaration,0,Tijuca,205008-000,RJ,56.9,5.2
115,Maddy,Sibylla,1999-12-11 06:13:22.143596,Feminino,msibylla36@hotmail.com,Não,258-417-3375,Sim,Não,177-833-1632,Fairview,5452,Tijuca,205003-000,RJ,338.94,73.62
116,Michail,Matthis,1963-02-20 06:13:22.143596,Masculino,mmatthis37@hotmail.com,Não,269-699-6411,Sim,Sim,457-328-6478,Dunning,920,Barra da Tijuca,226009-000,RJ,374.08,3.7
117,Herman,Ivison,1998-08-20 06:13:22.143596,Masculino,hivison38@gmail.com,Sim,466-780-2454,Não,Sim,510-718-7930,Center,35,Copacabana,220005-000,RJ,470.98,52.58
118,Rosalynd,Labusch,1980-12-25 06:13:22.143596,Feminino,rlabusch39@gmail.com,Não,958-632-6355,Não,Não,637-458-6999,Autumn Leaf,0,Barra da Tijuca,226005-000,RJ,483.44,53.96
119,Cornie,Spilsburie,1971-05-14 06:13:22.143596,Feminino,cspilsburie3a@gmail.com,Não,424-350-1790,Não,Não,547-377-6204,Lien,8809,Copacabana,220002-000,RJ,163.67,83.57
120,Bernelle,Blest,1979-08-05 06:13:22.143596,Feminino,bblest3b@gmail.com,Não,476-644-8612,Não,Não,179-294-0432,Lunder,92021,Tijuca,205009-000,RJ,340.58,27.03
121,Bert,Minkin,1993-12-06 06:13:22.143596,Masculino,bminkin3c@gmail.com,Não,606-510-7381,Não,Não,781-463-1900,Blue Bill Park,982,Copacabana,220006-000,RJ,125.41,23.86
122,Geoff,Thomton,1978-06-12 06:13:22.143596,Masculino,gthomton3d@gmail.com,Sim,494-149-3257,Não,Não,724-793-1242,Mallard,43,Copacabana,220002-000,RJ,181.51,66.01
123,Hamlin,Rosterne,1966-04-01 06:13:22.143596,Masculino,hrosterne3e@gmail.com,Sim,889-671-9262,Não,Não,322-934-0330,John Wall,3640,Barra da Tijuca,226002-000,RJ,283.35,86.2
124,Tyrus,Casswell,1967-06-03 06:13:22.143596,Masculino,tcasswell3f@hotmail.com,Não,960-566-1512,Sim,Sim,789-743-2740,Shelley,3568,Tijuca,205003-000,RJ,475.16,42.7
125,Weidar,Kinworthy,1974-01-19 06:13:22.143596,Masculino,wkinworthy3g@gmail.com,Sim,808-481-5294,Não,Sim,904-371-3111,Knutson,63540,Barra da Tijuca,226003-000,RJ,459.93,90.23
126,Netty,Zeal,1995-02-26 06:13:22.143596,Feminino,nzeal3h@hotmail.com,Sim,345-549-7753,Sim,Não,451-946-4727,Cordelia,733,Copacabana,220005-000,RJ,274.08,75.33
127,Case,Goodlip,1964-07-26 06:13:22.143596,Masculino,cgoodlip3i@hotmail.com,Sim,688-919-6212,Não,Sim,474-110-7348,Fair Oaks,4,Barra da Tijuca,226008-000,RJ,341.68,59.28
128,Carrie,McAlarney,1995-03-13 06:13:22.143596,Feminino,cmcalarney3j@gmail.com,Não,892-377-9039,Sim,Sim,283-350-3956,Green Ridge,4,Tijuca,205004-000,RJ,308.79,34.06
129,Jacqueline,Peattie,1988-12-23 06:13:22.143596,Feminino,jpeattie3k@gmail.com,Sim,336-455-5523,Sim,Sim,422-444-2416,Blackbird,333,Copacabana,220003-000,RJ,249.93,1.8
130,Patricia,Hensmans,1986-05-17 06:13:22.143596,Outros,phensmans3l@hotmail.com,Sim,871-818-3855,Sim,Não,992-621-9893,Hayes,8090,Copacabana,220005-000,RJ,132.07,68.53
131,Sigismund,O'Hengerty,1978-07-24 06:13:22.143596,Masculino,sohengerty3m@gmail.com,Sim,668-207-2528,Sim,Não,679-235-3515,Laurel,8124,Copacabana,220008-000,RJ,364.85,64.16
132,Gisella,Goldes,1961-03-14 06:13:22.143596,Feminino,ggoldes3n@gmail.com,Não,850-315-8616,Não,Não,750-694-0938,Buell,423,Tijuca,205007-000,RJ,489.86,92.49
133,Glyn,Kirtland,1981-12-25 06:13:22.143596,Masculino,gkirtland3o@gmail.com,Não,376-778-3684,Não,Sim,140-485-3717,Division,404,Copacabana,220002-000,RJ,425.47,15.81
